구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2007,2008,2007,2008,2007,2008,2007,2008
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(주)청화사,048059,1.04,1.94,273011,558967,450000,450000,55.37,56.51
(주)청화종합감리공단건축사사무소,049039,375.78,743.06,877822,1689723,552500,552500,0,0
(주)체리부로,019167,-0.97,1.32,-2640269,4583907,11120000,11120000,56.94,50.25
(주)체스투어즈,052853,1.25,1.27,375961,758071,1000000,1000000,63.09,41.01
(주)초이앤컴퍼니,042529,3.28,2.71,625489,3522812,300000,300000,36.05,47.89
(주)축림,053370,4.05,3.39,795081,1212173,1000000,2000000,51.83,47.83
(주)춘천골프아카데미,049615,-0.21,-0.33,-543384,-737668,1000000,1000000,106.84,93.98
(주)충무화학,026815,2.22,4.97,835316,1549192,1575000,1575000,27.78,26.47
(주)충북방송,039261,1.9,,281023,,14500000,,16.27,
(주)충북소주,043002,7.25,6.25,1563444,1866419,300000,300000,15.63,23.18
(주)충전공영개발,052717,336.91,26.17,1149529,655191,700000,700000,0,8.28
(주)취영루,029456,1.38,-2.08,3221438,-6821992,6654277,6654277,55.05,149.3
(주)친구,053118,5.49,2.27,817272,1998182,300000,1300000,72.35,51.41
(주)칩스앤미디어,045026,-10.4,9.84,-3294921,2886390,1926881,647189,48.97,43.13
(주)칩트론,019189,-6.45,,-5500876,,2724785,,106.19,
(주)카나리아바이오,042261,999999999,-3.14,518724,-161254,400000,400000,0,10.04
(주)카렉스,050147,4.79,11.1,1352608,1922954,100000,100000,21.88,28.83
(주)카로스넷,043085,-2.74,-2.56,-1668470,-2960641,3128572,3128572,45.68,56.01
(주)카리스소프트,037400,-2.45,-3.74,-628666,-978586,1547210,1547210,12.97,13.13
(주)카모스,030693,-3.97,1.03,-1253915,824228,1825000,1825000,47,83.66
(주)카보라인코리아,026829,1.25,2.27,480164,925998,428000,428000,39.35,29.57
(주)카스코무역,056433,,10.97,,714705,,300000,,1.28
(주)카운티스,041580,-0.81,-0.25,-1557019,-980259,800000,800000,49.52,106.27
(주)카이스시스템,040068,0.85,-0.31,848330,-288833,1200000,1200000,69.05,51.11
(주)카이저건설,046962,2.61,-12.09,1025270,-5951883,1000000,1000000,20.15,44.2
(주)카이저브로이,056392,,-0.1,,-37170,,2000000,,56.67
(주)카이텍,029400,-2.69,-67.08,-125611,-1136047,592000,533600,1.74,2.43
(주)카인즈대동,030047,-0.05,,-27895,,5000000,,58.54,
(주)카후나빌,052039,,-18.45,,-1682097,,2370000,,2.61
(주)칸디앤시,048090,0.59,1.44,782068,1513816,300000,300000,76.31,74.1
(주)칸인터내셔널,053722,-2.5,-3.09,-204057,-276784,100000,100000,102.16,105.4
(주)칸타텀,043475,1.13,1.09,835195,900522,2000000,2000000,53.65,64.38
(주)칼라랜드,019197,2.9,2.24,855708,681768,2000000,2000000,35.75,30.51
(주)칼링크,029385,-1.47,1.47,-3860473,3809695,4993350,10193350,86.98,76.42
(주)캐놀,044010,3.17,0.85,2040150,816122,1200000,1700000,42.65,54.77
(주)캐림코리아,052291,-9.21,8.94,-670011,1361820,200000,3300000,54.25,25.81
(주)캐스,053867,2.55,0.93,669448,241952,800000,800000,39.86,55.9
(주)캐스탑,039692,-1.36,-0.16,-442907,-60680,2500000,2500000,50.19,43.14
(주)캐스텍코리아,011895,2.17,0.21,4110470,641387,3900000,3900000,54.17,44.48
(주)캐스트윈,029026,4.98,20.91,1379179,2363511,1581500,1581500,14.22,1.84
(주)캐스트정보,041855,3.03,0.84,550745,167730,706000,706000,33.76,33.48
(주)캐슬렉스서울,023896,1.45,2.6,4074198,7503028,6500000,6500000,41.74,40.67
(주)캐슬렉스제주,019511,-1.87,-4.82,-2292435,-4859939,1000000,1000000,8.14,14.46
(주)캐슬렉스칭따오,056366,,0.79,,729090,,300000,,76.56
(주)캐슬피엠,053759,-7.3,5.62,-1939349,4529177,1383370,1383370,71.86,61.26
(주)캔두원,019204,999999999,999999999,1556789,1897863,180000,180000,0,0
(주)캠프넷,053650,1.04,-0.17,229674,-71889,100000,100000,58.75,56.45
(주)캡스코,030000,-1.33,-1.36,-2673139,-2717553,1000000,1000000,71.03,99.74
(주)캡스톤엔지니어링,041142,-0.67,-1.7,-800332,-2273056,4553755,4553755,50.86,63.17
