회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
주식회사세종노블,082525,2018/12,부동산업
주식회사세종누림,076305,2018,
주식회사세종디앤아이,064029,2018,
주식회사세종메디칼,066296,2018,
주식회사세종모아,081740,2018/12,부동산업
주식회사세종스카이,089096,2018/12,부동산업
주식회사세종스카이개발,092481,2018/12,부동산업
주식회사세종스파찜질방,091016,2018/12,부동산업
주식회사세종아이피,086275,2018/12,제조업
주식회사세종알엔디,082892,2018/12,부동산업
주식회사세종에이엠씨,085382,2018/12,건설업
주식회사세종에쿼티파트너스,086329,2018/12,금융 및 보험업
주식회사세종왕관,085257,2018/12,부동산업
주식회사세종월드산업,086001,2018/12,도매 및 소매업
주식회사세종웨딩,039385,2018/12,숙박 및 음식점업
주식회사세종이엔지,082686,2018/12,건설업
주식회사세종타운,074361,2018/12,부동산업
주식회사세종티엔씨,063472,2018,
주식회사세종플라텍,040195,2018,
주식회사세종피앤디,066463,2018,
