구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,현금비율,현금비율,현금비율,부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율
아이크래프트(주),52460,28.84,161.56,49.94,51.13,24.36,9.74,1249069,1568472,3509340,4515399,2120094,171726,0,3.86,17.67,10.63,4.33,3.84,4.48,-0.95,27.33,3.21,4.71,-22.16,0.64,0.34,28.6,1.54,4.33,-30.66,-13.12,2.3,27.49,16.64,14.29,-25.53,-60.6,-18.74,123.32,-8.58,-21.24,0,-73.03,13.55,130.04,28.79,-44.56,-75.93,2.95,2.34,4.1,3.22,2.22,-0.36,17.74,17.55,18.21,17.96,15.05,17.15,4.96,3.92,8.32,7.16,5.62,-0.71,3.71,2.96,5.84,4.69,3.56,-0.48,82.26,82.45,81.79,82.04,84.95,82.85,4.64,4.78,5.76,5.33,4.96,4.61,19.5,12.25,9.6,9,12.62,13.11,1.26,1.26,1.42,1.46,1.6,1.31,166.98,149.94,134.91,105.17,108.63,111.51,34.74,29.82,53.9,51.22,65.28,32.68,318.41,362.05,239.83,243.98,208.45,297.78,781.77,803.72,863.23,906.79,868.7,464.41,288.95,305.21,193.46,196.18,184.65,253.85,24.12,21.85,24.63,26.26,29.2,35.37,56.32,60.2,48.97,48.77,42.83,48.71,144.05,111.83,65.94,63.71,57.86,108.73,10973373,9758607,19198422,18798624,26971648,15166533,42368337,42077169,53864568,54842050,61810691,48344910,52170966,53407164,68367109,79856301,92532326,73149612,77.29,-4.71,-18.42,3.85,34.29,54.83,10973373,9758607,19198422,18798624,26671648,14866533,35534692,35777179,45964559,46921591,53033067,40746881,16.21,-0.85,-5.07,0.91,8.64,9,3.25,1.16,1.27,1.15,2.46,2.92
아이텍(주),119830,0.95,1.63,-1.89,4.52,5.75,1.49,,,,,,2496083,43.39,48.57,40.67,32.6,31.04,61.57,-11.1,25.71,-19.36,-4.67,5.61,141.99,12.32,37.04,-39.57,-24.86,-4.76,1563.68,3.6,9.99,-5.99,12.31,0.26,19.57,0,1093.98,0,0,5.52,-25.38,0,-18.61,0,0,15.99,6.24,0.33,3.57,-2.55,5.56,5.85,3.65,13.21,12.15,3.96,17.27,19.16,17.77,0.32,3.71,-2.5,6.02,5.98,3.58,0.14,1.6,-1.07,3.01,3.16,1.34,86.79,87.85,96.04,82.73,80.84,82.23,10.9,9.97,8.12,10.1,12.42,11.08,0,0,0,0,0,0,0.43,0.45,0.42,0.54,0.54,0.37,0.61,0.64,0.59,0.75,0.74,0.77,107.66,155.05,111.15,89.63,88.38,221.88,52.52,60.76,78.57,59.95,48.02,555.42,890.14,911.09,887.5,942.09,989.71,1157.85,52.52,60.76,78.57,59.95,48.02,555.42,181.09,219.48,189.08,174.01,174.39,157.5,-11.57,-9.01,-2.85,-5.5,-8.04,41.87,33.31,25.68,31.78,25.78,19.96,92,,,,,,82096645,,,,,,119484193,,,,,,30905307,25.44,22.64,29.32,35.66,34.55,7.43,,,,,,10944326,,,,,,56782904,28.61,34.12,32.82,30.42,30.82,19.71,4.11,1.87,3.25,2.7,2.84,4.01
아진산업(주),13310,0.82,2.38,2.09,2.36,1.07,-4.06,21600052,26513470,33652051,38759058,22401556,8881515,48.93,37.64,21.85,30.64,42.7,32.89,11.7,5.22,17.81,12.66,12.76,11.65,9.16,-4.2,3.35,8.6,6.46,-4.08,-9.41,30.5,-2.56,14.72,-14.62,69.01,-86.23,2527.5,6.56,-56.98,-76.39,0,-60.23,234.05,-5.48,-53.86,-25.75,0,0.58,11.67,12.76,4.78,1.32,-5.17,22.03,26.75,30.88,21.07,22.22,12.86,0.92,21.27,15.79,5.34,1.18,-7.1,0.29,6.94,6.63,2.48,0.52,-3.06,77.97,73.25,69.12,78.93,77.78,87.14,2.7,3.53,3.2,3.7,3.7,5.65,24.06,29.85,39.14,44.14,21.59,26.6,0.49,0.6,0.52,0.52,0.39,0.59,1.05,1.22,1.03,0.97,0.72,1.05,236.31,182.29,110.33,119.82,135.91,129.03,97.87,80.51,75.11,77.89,97.07,57.42,1651.58,2070.33,2056.59,2155.9,2219.54,1135.13,91.12,76.68,72.11,74.48,88.24,52.02,216.17,190.47,150.31,159.36,174.65,177.94,-0.78,-7.87,-9.46,-7.81,-0.79,-16.54,0.27,0.2,0.29,0.52,0.31,0.63,290015694,314869236,345120059,385467818,363035711,391984157,357567372,378148720,459623545,521315889,507300951,560735297,274511205,295750550,337731062,505965513,427926771,396944683,9.39,19.22,35.96,19.38,7.4,15.34,133065186,162680278,249596948,214451697,159303617,223716841,122730266,107256895,103425891,123456114,104982682,133244638,14.1,21.38,39.29,21.6,11.51,15.42,10.93,10.26,14.62,5.92,6.09,3.13
안국약품(주),1540,10.83,19.63,27.66,8.47,20.36,37.5,10134742,9801150,12932996,4164527,10403172,15366115,7.3,7.44,10.53,10.52,7.82,7.46,-2.39,9.34,8.74,-1.31,7.15,1.24,-4.95,9.86,13.25,-10.75,10.81,10.76,6.22,18.07,18.88,-12.26,4.41,0.67,36.66,0,0,-75.57,229.08,62.86,66.68,8.02,40.81,-62.69,106.16,46.43,3.94,-0.66,5.06,1.41,4.44,7.18,43.56,41.37,41.33,40.8,50.7,53.4,4.6,-0.89,7.88,1.86,5.95,9.17,3.38,-0.65,5.41,1.28,4.08,6.39,56.44,58.63,58.67,59.2,49.3,46.6,3.87,4.03,3.7,3.08,3.28,3.04,4.61,4.72,6.49,8.09,9.91,9.9,0.86,0.98,1.07,0.91,0.92,0.89,3.28,3.52,4.01,3.55,3.81,4.02,28.51,44.79,46.76,44.04,47.7,39.77,404.16,281.89,348.35,261.46,242.98,319.78,1960.11,1870.15,1988.86,1999.78,2089.68,2235.62,275.24,194.74,283.81,221.26,209.19,279.09,43.74,48.83,45.46,54.12,52.35,41.06,49.64,42.77,49.21,38.55,37.99,48.54,15.97,11.76,50,47.29,41.68,44.86,36820210,56605918,65961117,64920585,70612462,65704798,163242179,179070463,197854693,196267318,208065058,212923583,154099983,167936479,197735826,174002376,183599893,185745622,19.74,4.11,17.21,28.05,24.1,15.7,27335173,42480722,38359461,51369176,58391130,52068001,107411971,119321839,138206757,123008093,133218143,148767155,5.04,1.35,5.34,9.41,8.76,5.06,5.31,4.02,3,3.04,2.92,2.67
알리코제약(주),260660,2.48,2.75,3.37,8.16,14.73,9.59,,,,,,,43.41,42.04,41.68,33.78,22.18,28.49,-3.75,-1.1,6.43,19.36,38.48,91.47,-5.9,-0.24,12.61,48.27,48.1,112.34,-13.95,3.16,11.29,46.17,48,33.6,5.78,-34.63,113.6,113.01,46.37,-63.53,22.74,0.02,4.84,94.76,96.47,-16.96,2.67,1.69,3.25,4.73,4.68,1.28,45.74,50.77,53.11,56.95,60.73,61.76,7.54,4.64,9.24,17.67,19.85,2.99,2.27,1.52,3.16,5.95,6.71,1.45,54.26,49.23,46.89,43.05,39.27,38.24,3.44,3.9,4.19,6.38,6.96,6.47,8.98,9,8.39,7.69,8.86,9.42,0.85,0.9,0.97,1.26,1.44,1.13,1.66,1.76,1.94,2.74,4.03,4.25,214.5,197.11,188.27,204.5,189.67,79.67,73.49,72.22,74.4,89.18,109.02,176.53,948.5,993.04,1089.32,1125.58,620.72,1282.69,52.99,52.98,48.97,54.2,79.07,142.97,199.88,187.89,176.15,157.38,140,76.72,-13.15,-14.14,-13.38,-5.86,4.27,24.84,0.12,0.81,0.82,14.13,20.03,6.46,,,,,,,,,,,,,,,,,,,9.33,5.68,4.44,12.7,19.58,6.56,,,,,,,,,,,,,7.35,4.17,3.07,7.38,10.37,3.37,6.16,5.7,4.85,3.86,4.48,3.47
알서포트(주),131370,108.95,-0.03,-266.17,152.97,194.9,309.97,6390167,546245,-2604915,-236477,3440287,5478843,5.35,1.4,0.29,1.99,2.13,1.45,0,-2.21,-2.76,-2.08,-6.69,10.04,0,-38.18,-15.53,0.79,13.56,-2.15,0,-22.04,-5.84,18.3,7.7,8.96,0,0,0,0,0,124.33,0,0,0,0,88.45,46.85,9.05,-2.17,-10.65,-1.65,10.33,21.27,0,0,0,0,0,0,3.57,-0.66,-3.05,-0.58,4.12,9.14,3.2,-0.6,-2.86,-0.54,3.79,8.39,0,0,0,0,0,0,9.4,5.4,3.85,4.35,3.04,2.7,522.32,437.33,623.06,351.89,255.48,77.74,0.35,0.28,0.27,0.33,0.37,0.39,20.62,13.32,12.14,18.98,27.12,41.84,11.82,7.21,6.11,8.19,9,8.9,1355.86,873.78,848.59,901.35,1046.66,738.79,1024.62,1017.99,1000.09,960.44,889.55,979.67,1354.83,872.85,848.14,898.47,1044.51,727.19,12.33,46.91,54.26,53.77,42.28,49.62,82.41,49.81,43.1,44.72,55.36,47.07,87,146.18,262.81,314.03,322.11,167.88,7054915,5354275,4197352,5129073,5376663,5206388,60428859,59150489,55648993,55925173,54354108,58874570,21511955,20748768,18531431,21430529,23077016,24704712,-88.98,51.72,123.95,11.41,27.34,21.63,4672988,5187615,4197352,4029073,4134194,4748088,54168515,34572937,31152338,30249500,34369178,33898229,-26.62,12.35,26.17,2.62,5.93,4.69,1.97,3.26,1.77,1.88,1.6,1.69
알에스오토메이션(주),140670,1.28,0.63,2.4,3.92,5.58,1.65,1719224,630283,2118458,3070541,3918161,1082206,41.93,43.11,33.31,31.81,24.71,23.13,7.48,-5.3,20.08,21.1,17.48,-4.02,7.18,-9.46,35.58,22.21,22.5,-6.45,8.82,-17.54,27.12,9.56,23.38,12.08,27.18,0,0,91.22,-2.99,-67.87,-1.02,-65.45,232.76,47.77,28.04,-76.36,2.39,-1.08,2.57,4.49,3.53,1.01,17.61,17.57,16.5,16.13,16.12,12.39,9.67,-3.28,9.59,15.98,9.68,2.35,3.08,-1.14,3.22,5.1,4.16,1.26,82.39,82.43,83.5,83.87,83.88,87.61,5.55,4.52,4.34,3.6,3.98,3.96,5.61,5,6.05,5.54,5.61,5.52,1.29,1.05,1.25,1.14,1.18,1.25,4.52,3.76,4.89,4.78,5.04,5.54,191.95,185.56,209.09,216.6,90.15,81.79,137.38,114.64,110.62,112.81,172.35,179.8,554.94,537.28,596.06,704.69,861.86,865.31,89.97,73.24,76.39,77.84,119.34,116.26,113.6,118.77,105.26,105.91,58.19,58.84,16.62,7.46,6.33,7.56,29.13,30.02,18.43,8.07,4.12,11.12,16.45,11.29,30912343,29305482,36530815,44630373,36974207,34170724,46577445,44479132,53425179,64662270,76231548,73688693,57995713,49709541,64010012,70697897,87447208,98664317,6.65,7.73,5.07,7.45,-0.82,-9.75,21099249,23163695,32296125,38614214,31597278,28862100,28884830,26567761,35818464,43671922,53653357,50793589,3.51,4.63,2.99,4.91,-0.36,-3.45,7.33,5.09,4.67,4.07,3.57,3.16
알에프에이치아이씨(주),218410,,,,,27.79,16.21,,,,,8075619,26711252,,,,,10.67,13.59,,,,,0,53.32,,,,,0,65.21,,,,,0,63.03,,,,,0,300.07,,,,,0,167.48,,,,,10.02,24.6,,,,,32.69,38.78,,,,,4.89,17.22,,,,,4.12,13.02,,,,,67.31,61.22,,,,,3.73,5.24,,,,,1.27,2.12,,,,,0.41,0.53,,,,,2.18,3.33,,,,,18.55,42.92,,,,,481.55,381.47,,,,,1117.42,1395.2,,,,,255.94,278.59,,,,,36.5,36.33,,,,,54.84,55.03,,,,,152.13,166.46,,,,,27643101,70570436,,,,,155075427,234287803,,,,,62055228,108101224,,,,,17.01,36.31,,,,,24917990,43706651,,,,,107212644,178170913,,,,,6.47,24.94,,,,,1.84,5.72
애경산업(주),18250,2.8,2.48,13.39,57.39,150.43,308.89,,,,,49721769,79170685,33.31,32.56,15.31,2.44,8.47,0,-26.6,2.21,-3.65,12.34,1.7,84.16,20.46,4.36,-5.76,14.71,-9.95,108.84,5.06,13.2,12.9,10.31,24.23,10.76,41.51,-56.32,633.78,34.59,77.99,55.04,-22.58,-25.17,247.62,46.68,25.29,54.6,1.39,0.54,3.48,4.25,6.09,8.53,44.39,45.13,48.56,47.59,51.76,50.43,7.02,3.79,23.36,26.08,37.42,27.89,2.15,1.1,8.13,10.5,17.51,18.95,55.61,54.87,51.44,52.41,48.24,49.57,6.06,6.05,7.6,9.15,11.67,12.67,7.34,7.42,7.58,8.19,10.13,10.19,1.55,2.05,2.33,2.47,2.88,2.22,6.03,6.91,7.87,8.6,10.15,9.01,247.48,241.95,146.45,150.1,86.89,31.94,106.46,96.91,124.98,115.69,139.59,313.67,274.95,285.58,367.81,407.17,554.14,1173.38,63.8,52.53,62.28,64.55,71.29,225.1,126.51,119.91,89.92,87.91,79.58,46.03,3.86,-2.07,12.69,8.79,16.28,44.36,1.97,1.44,4.02,16.86,11.23,151.09,,,,,102930229,101063694,,,,,220710587,410172265,,,,,628921403,699584480,1.05,-1.1,18.76,35.95,22.84,16.15,,,,,91174257,87224104,,,,,128576838,270604640,0.41,-0.38,4.69,9.24,3.72,2.28,4.21,4.83,4.29,3.99,2.78,2.68
애경케미칼(주),161000,11.23,33.45,51.33,120.77,85.71,66.45,31329002,41167142,32296467,75010272,75130959,52021633,24.77,23.21,7.8,8.48,7.65,6.2,0,-3.76,-15.8,24.03,13.06,3.85,0,-5.81,-23.42,50.48,19.76,-10.06,0,-3.26,-20.95,-2.78,8.07,10.11,0,-18.23,-8.62,96.43,34.58,-39.04,0,12.63,-19.58,131.15,0.58,-29.19,3.42,2.89,3.34,6.75,8.41,4.65,8.34,9.12,9.78,16.59,15.86,10.87,20.51,15.73,12.81,21.67,24.26,12.93,9.06,7.55,7.64,14.66,16.72,9.42,91.66,90.88,90.22,83.41,84.14,89.13,8.4,9.12,9.67,9.92,9.89,13.06,14.83,12.72,10.81,12.65,11.18,10.37,2.65,2.61,2.29,2.17,1.99,2.02,8.63,8.39,6.78,6.83,7.43,7.29,126.25,92.43,45.49,49.85,41.1,33.7,113.65,129.34,178.6,196.96,240.92,240.96,1015.84,1149.45,1280.06,1541.47,1851,2028.62,79.19,77.01,115.42,147.35,171.76,159.73,92.91,81.45,69.17,54.48,45.98,55.64,7.08,13.08,23.09,31.33,39.43,34.15,14.95,13.17,31.44,54.1,78.38,78.59,249494408,216222609,127135999,155311433,157171987,156525576,410696212,397608844,332693320,408400368,457845132,498468498,1176144492,1161070476,912104906,867743146,959818485,1031357749,20.9,17.12,49.16,55.29,39.94,43.05,233667958,202647367,119311150,149359758,149567230,147416438,243014753,233108084,171610813,249999132,300363799,302833174,4.4,3.09,6.14,9.38,6.21,5.46,3.42,1.36,1.17,2.22,2.72,2.67
애니젠(주),196300,1,-0.25,-2.68,-6.26,999999999,-8.34,,,,,,,11.95,7.02,5.95,0,0,25.53,26.77,4.9,-10.61,131.55,4.63,39.28,35.42,-1.43,6.77,241.69,-38.32,18.23,25.13,-8.24,1.24,12.2,8.99,-9.61,756.44,0,0,0,0,0,0,0,0,0,0,0,3.81,-9.84,-69.14,-39.43,9.85,-174.12,40.32,29.54,13.32,36.12,51.23,-26.33,3.26,-9.42,-64.71,-12.6,1.91,-31.63,1.53,-3.16,-23.14,-9.46,1.8,-23.54,59.68,70.46,86.68,63.88,48.77,126.33,4.51,4.1,3.95,4,5.82,5.75,2.83,1.94,1.66,1.8,1.56,1.53,0.4,0.32,0.33,0.24,0.18,0.14,1.38,1.31,1.48,1.92,0.77,0.28,296.7,141.76,239.05,5.54,6.42,65.58,81.25,102.21,130.36,1764.46,1331.3,545.43,232.96,337.16,174.53,931.93,958.74,853.02,57.11,58.91,77.19,1546.04,938.54,469.7,209.18,134.37,159.16,22.91,57.3,100.71,-10.91,0.96,12.36,73.86,42.69,32,4.81,6.85,16.32,98.78,631.85,58.37,,,,,,,,,,,,,,,,,,,9.24,16.57,-1.09,-41.01,37.85,-3.01,,,,,,,,,,,,,19.3,31.03,-2.16,-12.52,12.75,-10.26,28.4,44.45,60.82,53.87,0,13.67
애머릿지코퍼레이션,900100,-0.8,1.03,-1.12,-3.01,-3.37,0.69,-2789782,60364,-4237115,-15676700,-12668519,-5143652,83.62,65.47,59.94,44.66,18.88,24.4,-34.57,3.44,122.03,16.88,8.72,22.9,-26.66,3.64,60,64.61,-17.52,9.61,-26.64,9.39,14.72,-29.55,-12.52,-30.13,0,0,0,0,0,0,0,0,0,0,0,0,-29.37,6.35,-7.69,-38.16,-57.34,-46.13,11.25,14.5,10.36,11.78,6.71,25.81,0,0,-44.68,-68.52,-49.45,-19.17,-41.75,12.27,-10.41,-24.34,-28.44,-13.77,88.75,85.5,89.64,88.22,93.29,74.19,9.1,9.17,8.17,6.03,7.96,7.46,5.84,7.27,8.9,6.77,7.29,10.51,1.42,1.93,1.35,0.64,0.5,0.3,24.42,27,7.53,5.14,20.99,46.01,0,651.1,259.93,137.38,39.51,39.03,83.45,99.58,83.08,146.68,227.75,203.36,0,4916.83,13895.84,17735.15,22884.65,23541.92,53.66,71.27,67.24,133.27,206.52,202.3,0,126.69,144.3,37.09,50.21,59.66,-16.46,-0.35,-12.2,26.85,35.91,29.01,3.13,4.49,7.86,3.15,21.04,2.56,33000234,28864824,54136430,44616562,27853580,32671642,33743315,32907650,70232052,69677224,78927984,92686599,69956686,66179843,74092752,61682825,37592098,27003367,7.11,-1.86,3.23,-7.38,-37.79,-1.47,32185452,27975183,54020340,43886216,27687187,32671642,24052139,23815677,37981085,36897725,44819873,31683330,4.05,-0.85,2.37,-7.21,-22.47,-1.53,4.65,3.9,3.75,7.37,11.17,10.27
앱클론(주),174900,,-33.2,-104.69,-32.93,-33.02,-31.7,,,,,,,,0,12.49,12.49,9.59,6.97,,0,266.77,-0.02,30.33,37.57,,0,220.32,0.23,40.11,26.5,,0,7.62,62.3,13.21,10.99,,0,0,0,0,0,,0,0,0,0,0,,-180.34,-513.28,-51.17,-41.97,-21.49,,30.1,22.13,56.91,56.89,57.8,,0,0,-12.71,-10.1,-4.67,,-73.79,-96.84,-9.97,-8.04,-3.4,,69.9,77.87,43.09,43.11,42.2,,17.22,16.13,15,14.75,17.87,,110.99,109.78,292.18,342.22,216.76,,0.41,0.19,0.19,0.19,0.16,,5.78,1.02,0.93,1.13,0.97,,0,21.74,33.65,19.97,53.51,,85.47,3555.47,896.57,626.22,242.34,,0,431.34,392.83,511.54,522.32,,85.12,3550.09,896.4,625.58,242.15,,0,26.66,29.01,18.99,34.69,,-15.21,75.9,69.56,70.73,45.46,,7.46,614.57,153.28,136.65,75.43,,,,,,,,,,,,,,,,,,,,-21.62,-64.38,-29.85,-19,12.99,,,,,,,,,,,,,,-82.89,-95.76,-38.56,-18.68,33.16,,0,2.97,2.44,2.34,3.08
어보브반도체(주),102120,79.11,81.74,85.05,112.07,210.29,999999999,9321739,7157808,6509092,9259423,7541113,7761850,5.1,4.81,4.76,4.42,0,0,25.18,8.27,4.6,9.4,-9.67,5.7,103.66,0.23,7.54,19.14,-2.98,8,59.4,1.16,6.06,5.98,3.79,1.54,156.11,-26.51,3.29,0.28,0,0,140.12,-28.28,-11.57,50.18,-11.27,-9.7,10.03,7.28,7.09,6.71,-4.99,7.44,21.88,20.48,20.64,20.98,21.59,21.65,14.91,9.61,9.19,8.55,-6.62,10.17,12.11,7.69,7.46,6.99,-5.42,8.41,78.12,79.52,79.36,79.02,78.41,78.35,7.8,5.9,6.03,6.25,6.39,6.2,6.22,5.49,6.82,9.12,8.52,7.82,1.21,1.06,1.05,1.04,1.09,1.13,101.05,41.67,29.74,32.59,35.63,41.48,25.16,24.82,21.65,23,21.24,20.48,366.04,380.13,455.94,446.14,572.41,629.61,737.56,800.7,859.38,929.89,852.14,906.4,233.07,244.59,347.08,366.29,429.37,495.18,55.58,60.58,57.29,52.13,46.21,44.29,40.4,37.93,41.31,44.7,51.07,53.19,61.7,54.47,117.13,169.57,108.96,169.81,16306018,17469685,16332956,18752610,15899415,16294805,79915085,86739108,90290959,98989549,89757486,95153898,88348721,92016677,96919277,103201219,105824401,109543014,47.14,62.01,73.6,74.41,66.94,55.12,12346584,11930118,10678308,12979642,9848284,9665263,44397826,44437225,47723093,57023252,55207336,60116324,8.72,12.15,12.73,13.96,10.24,8.52,2.43,1.98,1.64,1.82,1.71,0
에디슨이노(주),56090,1.88,3.16,-2.64,3.91,-43.35,-3.94,,,,-3157170,-5339874,-4911920,42.82,34.1,12.2,4.53,20.35,34.82,-2.64,23.52,120.49,-9.61,16.73,-3.59,-18.3,41.06,203.41,-16.2,-14.33,-40.47,3.09,11.26,-6.67,21.64,-29.25,28.33,0,49.64,0,0,0,0,696.95,34.74,0,0,0,0,7.38,9.93,-5.56,10.19,-41.5,-94.1,54.19,63.02,64.47,53.88,29.33,33.05,10.15,17.99,-2.25,2.88,-8.51,-29.31,3.6,4.89,-1.44,2.45,-6.87,-18.91,45.81,36.98,35.53,46.12,70.67,66.95,2.52,2.99,2.18,1.71,0.97,1.68,2.07,2.47,1.81,1.92,1.44,1.78,0.49,0.49,0.26,0.24,0.17,0.2,1.24,1.3,1.17,1.35,0.94,1.06,254.79,279.52,23.2,11.19,37.21,79.09,84.45,131.03,935.74,1178.74,1015.48,148.47,361.13,417.01,1646.76,1639.56,1548.86,1135.97,49.36,86.81,791.97,968.01,822.25,92.42,177.42,162.86,26.42,30.21,63.87,119.98,-9.2,13.52,70.16,66.65,48.19,10.77,11.23,36.44,199.76,142.95,202.08,27.73,,,,7094971,24787198,35661532,,,,66161922,79079451,74861219,,,,11687568,13293960,31685938,4.74,5.58,-12.57,-57.74,-12.15,-9.58,,,,4378230,5346827,18248060,,,,47020672,45630595,36637533,6.88,9.22,-12.56,-22.9,-21.43,-20.66,6.84,5.6,4.38,3.19,0.96,6.68
에스넷시스템(주),38680,29.13,30.85,-47.68,-86.05,32.21,175.2,5576166,5137266,-397403,-1908992,4570045,8995814,1.06,0.72,2,1.06,1.79,2.22,16.69,4.97,-2.95,-3.73,15.2,-2.27,27.7,5.63,-1.08,11.69,19.42,-7.84,45,-0.82,-11.78,-6.65,11.51,35.95,-0.71,11.76,-57.66,0,0,711.15,175.95,-54.06,0,0,0,306.53,2.03,2.28,1.1,-1.23,0.81,4.85,11.07,10.98,8.38,7.84,10.43,13.87,4.61,4.97,2.08,-2.22,1.66,12.7,2.93,2.96,1.24,-1.34,0.94,7.2,88.93,89.02,91.62,92.16,89.57,86.13,6.79,4.06,3.02,3.82,4.5,5.74,11.35,11.3,12.49,16.16,15.66,17.04,1.44,1.3,1.13,1.1,1.16,1.49,9.52,9.46,8.25,14.01,87.11,122.21,66.45,68.98,66.1,64.32,88.18,65.62,169.85,164.51,172.34,209.38,183.71,202.98,744.82,770.15,760.39,739.96,744.36,826.57,134.74,141.02,150.12,196.59,161.87,182.36,56.86,57.02,53.93,35.58,35.35,38.77,27.08,25.98,28.34,40.93,37.01,38.86,66.5,14.46,23,23.37,14.42,70.46,57547359,64631935,68131406,67609562,76466317,75178358,127142557,137750123,141299277,138264801,148097375,150008719,188807640,217651039,197935874,209358473,213417889,270809012,14.24,-9.27,-11.15,19.14,1.67,4,55695692,63383165,66757432,64981029,73399298,71335856,93533568,104838239,111119648,121442993,125392485,123405951,4.24,-2.99,-3.85,6.71,0.72,1.05,19.56,6.02,3.2,2.8,4.63,2.37
