,구분,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채/자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,유동자산/자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
607,디앤드와이건설(주),-29.17,-29.22,0.0,0.0,0.0,-385.66,-333.05,0.0,-59.6,433.05,0.0,0.18,0.15,2223.43,0.0,153.55,0.0,30.36,0.0,34.82,0.3,2.934647528423646,15.747212477561296,-2.27,0.22155283429611922,0.9983492540172416,-35.75,1.62,0
608,디에스네트웍스주식회사,157.7,135.24,107.81,542.21,0.0,8.53,15.94,0.0,6.38,84.06,124.75,1.17,0.75,3850.66,14858.66,256.62,220.92,81.93,1903.86,53.26,69.66,0.993314912086802,1.9134541895332182,-19.71,0.3423755638813731,0.8727251937866364,-37.71,1.06,0
609,디에스디엘주식회사,-2.27,19.98,-16.94,0.0,0.0,-21.29,4.15,-41.06,-5.52,95.85,52.76,153.43,0.26,0.45,816.05,5.63,346.24,5.38,880.09,-65.82,2.59,0.8908353777987508,3.3944448667390974,1.6,0.7829251590521348,0.039254748741228786,5.42,4.14,0
610,디에스솔텍(주),19.95,85.76,59.14,336.12,11.89,5.2,21.46,13.82,2.27,78.54,17.03,4.67,0.44,0.57,542.66,66.89,102.82,24.55,490.92,-11.69,1.92,0.8443975081995025,2.111493004670017,-0.08,0.4180719111334896,0.2361231599450846,-0.18,2.66,0
611,디에스온(주),-98.03,-8.22,-68.91,0.0,0.0,-829.0,-84.72,-164.21,-31.3,184.72,22.17,0.0,0.04,0.04,923.66,45.91,14.46,45.91,599.63,-48.81,21.93,0.9023111857379916,0.9242861687780038,-341.49,1.0,0.4142296077374868,-315.63,3.8,1
613,라미드에이치엠주식회사,0.35,-4.95,-21.26,0.0,492.39,1.34,74.83,0.63,0.1,25.17,892.34,308.83,0.07,0.09,253.13,2.9,928.49,2.89,349.19,-37.35,0.13,0.716820942546848,9.808208954528556,7.66,0.5366600021069977,0.011166506513647928,75.08,2.85,1
615,라온종합건설주식회사,364.05,344.07,-13.63,0.0,0.0,-5.21,6.43,-152.19,-3.26,93.57,4390.31,0.97,0.62,17.44,32075.62,101.66,17.52,22.64,1405.86,1.56,0.6,0.9968920424038697,2.6254668176987845,-29.05,0.9436602845630069,0.9563066794254933,-76.28,3.1,1
616,라인호(주),-2.8,-4.28,59.71,0.0,0.0,5.66,34.16,27.31,4.05,65.84,7.54,2.61,0.72,1.56,466.05,48.55,131.96,16.92,350.1,-40.43,0.03,0.8233374084302517,1.1332039496272657,3.73,0.9543970906887378,0.381506832351078,4.23,6.34,1
617,라파바이오(주),-39.48,-50.57,-34.37,0.0,0.0,-304.89,44.23,0.0,-59.46,55.77,1.09,1.43,0.2,0.5,0.0,25.51,0.0,9.51,0.0,-93.46,0.49,1.7022494275699325,6.58149196381453,1.32,0.7370410001637426,0.32001573398735905,8.71,4.71,0
619,랜드리스아시아,-1.98,1.41,3.09,0.0,-54.08,371.06,0.0,118.65,7.51,0.0,10.77,0.0,0.02,0.06,720.59,13.15,236.51,13.15,727.32,-75.05,1.32,0.8781365709927316,42.931493115556876,-0.33,0.9840403965726752,0.11365889748429232,-14.1,7.01,0
620,랜드마크리더스(주),-97.31,-97.62,-9.62,0.0,0.0,-4.04,3.57,0.0,-2.62,96.43,31.31,0.79,0.65,439452.75,0.0,2.32,0.0,2.32,0.0,-3716.96,0.01,38.09423764116775,3.0678384324919703,34.53,0.9989444686674617,0.8844107208271818,105.95,5.88,0
621,랜드마크플러스(주),-96.11,-96.11,-9.49,0.0,0.0,23.17,5.99,0.0,16.91,94.01,31.27,0.91,0.73,195590.63,0.0,3.48,0.0,3.48,0.0,-2774.84,0.02,28.748281431039437,2.952420060046454,35.61,1.0,0.9999276953484996,105.15,6.9,0
622,로스코파트너스주식회사,-6.11,-6.65,3202.09,0.0,0.0,15.73,34.17,0.0,13.38,65.83,0.0,1.29,0.85,1879.61,1498.84,234.22,352.49,104.92,10.08,56.94,99.04,0.9374546010741192,1.0675953464935946,-1.6,0.45256931340366613,0.9936938426265993,-1.7,4.55,1
623,로얄링스주식회사,-6.84,-4.16,42.05,0.0,0.0,-78.22,61.66,0.0,-12.07,38.34,233.62,9021.09,0.15,1.61,0.0,158.24,0.0,158.24,0.0,2.56,4.82,1.2126112829537248,7.582471183616627,-3.45,0.036266244289076766,0.06958952734146219,-26.12,8.25,0
624,로얄코리아(주),8.61,116.78,156.98,0.0,0.0,1.79,9.67,0.0,1.78,90.33,9.78,27.34,0.99,1.17,2429.28,86.11,22.29,59.58,2012.6,-3.3,1.32,0.9604630641863099,1.0085871726030198,-4.57,0.24700894042937585,0.20427848500271548,-4.61,4.17,0
