,Ç×¸ñ
1501,64937
1502,38991
1503,90836
1504,65156
1505,59833
1506,43496
1507,38924
1508,91925
1509,66706
1510,59854
1511,91934
1512,53255
1513,61056
1514,77519
1515,64666
1516,86799
1517,91509
1518,48157
1519,78272
1520,40853
1521,78995
1522,67679
1523,86075
1524,73247
1525,78458
1526,56577
1527,80241
1528,29608
1529,57876
1530,75980
1531,59589
1532,47014
1533,73775
1534,91896
1535,73176
1536,63735
1537,63813
1538,63470
1539,85677
1540,72980
1541,56793
1542,87707
1543,73248
1544,13641
1545,73555
1546,61237
1547,46696
1548,78549
1549,44568
1550,50653
1551,43513
1552,13664
1553,78117
1554,60024
1555,69560
1556,45724
1557,10225
1558,58371
1559,44734
1560,64712
1561,80633
1562,48663
1563,52069
1564,67442
1565,85988
1566,44042
1567,52691
1568,74521
1569,86051
1570,57102
1571,70546
1572,13678
1573,64903
1574,72983
1575,13684
1576,52869
1577,86630
1578,43442
1579,90020
1580,81497
1581,47966
1582,46312
1583,41913
1584,41182
1585,67297
1586,66934
1587,48943
1588,53742
1589,13695
1590,73739
1591,64795
1592,88866
1593,67769
1594,42175
1595,67744
1596,57321
1597,66753
1598,89344
1599,45958
1600,39024
1601,88846
1602,49362
1603,66707
1604,46208
1605,30644
1606,67232
1607,56309
1608,80327
1609,85527
1610,91678
1611,17654
1612,73731
1613,67798
1614,48030
1615,78840
1616,88588
1617,38850
1618,78562
1619,75831
1620,78408
1621,89718
1622,61077
1623,44443
1624,48005
1625,87902
1626,61601
1627,63540
1628,48456
1629,86434
1630,91993
1631,81411
1632,67614
1633,68919
1634,39768
1635,50272
1636,67429
1637,73009
1638,42154
1639,39362
1640,42383
1641,76982
1642,43041
1643,49245
1644,22706
1645,77977
1646,86711
1647,62042
1648,73167
1649,80637
1650,79002
1651,29404
1652,70707
1653,39438
1654,49627
1655,29677
1656,85870
1657,58328
1658,10228
1659,87234
1660,17216
1661,63274
1662,63294
1663,82721
1664,82449
1665,72779
1666,58943
1667,73885
1668,53191
1669,65914
1670,59667
1671,86472
1672,43797
1673,65988
1674,52112
1675,78323
1676,13749
1677,38562
1678,78171
1679,69744
1680,83184
1681,91550
1682,83836
1683,13762
1684,28488
1685,64693
1686,75912
1687,53610
1688,65174
1689,14536
1690,38909
1691,78586
1692,66096
1693,92604
1694,82784
1695,81999
1696,67677
1697,77494
1698,85522
1699,13784
1700,53354
1701,13782
1702,82410
1703,49215
1704,76425
1705,71117
1706,20716
1707,61454
1708,64576
1709,77878
1710,73816
1711,74748
1712,70516
1713,58099
1714,13786
1715,10668
1716,39397
1717,42805
1718,43416
1719,62283
1720,59516
1721,66181
1722,90804
1723,49598
1724,43027
1725,91029
1726,13793
1727,43876
1728,17674
1729,82604
1730,81041
1731,81856
1732,43219
1733,13796
1734,80843
1735,87818
1736,13803
1737,48983
1738,89763
1739,64570
1740,71257
1741,70086
1742,52493
1743,13808
1744,76770
1745,67254
1746,70909
1747,73359
1748,80138
1749,58624
1750,53563
1751,64023
1752,77168
1753,59616
1754,73439
1755,58266
1756,22805
1757,87294
1758,80418
1759,64729
1760,46578
1761,70254
1762,73293
1763,78360
1764,42231
1765,13827
1766,77318
1767,51191
1768,56712
1769,66396
1770,80105
1771,43295
1772,40776
1773,87442
1774,84804
1775,91561
1776,85597
1777,81938
1778,88567
1779,17685
1780,51908
1781,43896
1782,70494
1783,69700
1784,81643
1785,43046
1786,53460
1787,69082
1788,74749
1789,63853
1790,48477
1791,69147
1792,74685
1793,40658
1794,90209
1795,62176
1796,43743
1797,82786
1798,89541
1799,61669
1800,74150
1801,83720
1802,13865
1803,53999
1804,89710
1805,75429
1806,86306
1807,22857
1808,77047
1809,13876
1810,78404
1811,22870
1812,43463
1813,63339
1814,90318
1815,91159
1816,41899
1817,66859
1818,81169
1819,40872
1820,57284
1821,46378
1822,46822
1823,73847
1824,81028
1825,42538
1826,81490
1827,59389
1828,39151
1829,59669
1830,43683
1831,56834
1832,73719
1833,76206
1834,70379
1835,46993
1836,72838
1837,85024
1838,84838
1839,64584
1840,81029
1841,50531
1842,69936
1843,74007
1844,53235
1845,74419
1846,62016
1847,63105
1848,72668
1849,13901
1850,84751
1851,86478
