,구분,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채/자산2009,부채/매출액2009,부채/현금흐름2009,유동부채/부채2009,유동자산/자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
1533,(주)티에스마이크로,-9.48,1.89,-46.97,-16.51,-69.61,3.58,16.47,11.55,1.41,83.53,11.6,2.82,0.39,0.61,577.28,80.97,316.27,44.21,456.98,-7.64,2.35,0.8523511398463081,2.05809857567271,7.68,0.4713123199180921,0.32528055512848364,15.81,6.15,0
1534,(주)티에스케이에스앤더블유,17.34,286.55,30.83,0.0,0.0,22.7,61.3,118.81,3.69,38.7,4.91,0.0,0.16,0.18,480.86,34.33,114.5,34.33,489.96,-29.93,7.45,0.8278418599779009,5.4964196350542185,1.69,0.5506345841767752,0.1565021617976364,9.29,6.51,0
1536,(주)티이지엠텍,-54.24,-58.79,-66.43,0.0,0.0,-11.63,1.05,0.0,-31.92,98.95,46.18,7.52,2.74,13.93,0.0,146.59,-189.89,70.94,0.0,22.59,18.64,1.7006677686422786,0.38901915558603345,-36.64,0.2851563995696655,0.7108947079143725,-14.25,7.95,1
1537,(주)티피이,-8.99,-38.92,-81.32,0.0,0.0,250.32,0.83,0.0,74.61,99.17,92.25,3.45,0.3,0.36,595.73,514.89,152.56,514.89,612.76,9.61,31.79,0.8562654096531338,2.7374065655700455,8.82,0.027047256673512987,0.11924555633742687,24.13,4.0,1
1538,(주)파고다타워종로,-3.43,183.47,-27.82,194.59,-98.86,19.42,58.49,73.99,3.98,41.51,1115.13,41.01,0.21,0.23,1232.4,10.31,88.71,10.31,1205.31,-82.96,2.67,0.9249473483914711,4.43165450322204,0.0,1.0,0.09538646493587738,-0.01,3.2,0
1539,(주)파라다이스인천,21.01,78.44,53.09,698.25,127.01,16.92,25.79,0.0,26.76,74.21,63.93,237.14,1.58,2.61,0.0,45.08,-114.04,44.31,0.0,-52.49,26.09,1.130584052112022,0.7829600941911921,19.55,0.8454572035521078,0.43091881598077236,15.31,6.73,0
1540,(주)파란하늘앤드지,-1.27,-0.67,-5.36,0.0,11.88,-11.91,43.08,-31.6,-1.43,56.92,27.07,0.0,0.12,0.15,2501.89,18.49,27.12,18.49,2153.68,-75.93,0.2,0.9615662789502143,7.9404145562806026,0.61,0.9688092289063297,0.17226353154652288,4.81,5.81,0
1542,(주)팬스타,-62.93,-19.57,-31.64,1097.67,-62.79,76.14,21.94,0.0,45.66,78.06,3.69,0.0,0.6,0.86,1100.6,56.12,149.06,56.12,794.57,-26.44,0.83,0.9167082945732,0.8268576645066742,11.23,0.6573702385173865,0.33818747920658954,9.28,8.94,1
1545,(주)페넌트,-25.64,-25.64,-56.39,0.0,0.0,-112.6,-2.14,0.0,-9.99,102.14,1.41,0.11,0.09,498.27,0.0,83.25,-7717.96,8.92,0.0,-20.12,5.22,1.4221702800615565,13.66672193019344,9.37,0.8442628197438237,0.9995313543551723,128.02,8.43,1
1547,(주)평화씨앤디,-4.27,-12.73,-17.45,142.24,-23.39,10.12,83.56,0.0,1.15,16.44,15.26,0.0,0.11,0.15,93271.91,22.92,0.84,22.92,75682.67,-63.71,0.8,0.998929014061317,8.579003655134061,2.72,0.8274227559215659,0.18944925615215044,23.31,4.62,0
1548,(주)포레스코,39.55,-3.44,-7.72,380.32,-43.54,1.62,14.63,4.27,1.19,85.37,4.57,8.59,0.73,1.32,171.14,66.4,1815.84,56.34,178.91,-17.21,4.8,0.6311930723133885,1.002518104552034,6.78,0.8116661945623168,0.34018053685098865,6.79,4.92,1
1550,(주)포항온천,16.0,20.37,26.35,0.0,0.0,3.32,98.83,0.0,0.95,1.17,114.76,118.4,0.29,0.29,0.0,1.51,0.0,1.27,0.0,-75.93,0.61,1.1386089156344983,4.291002925323816,2.12,0.6770563903747336,0.011616061689325963,9.08,7.2,0
1551,(주)푸른영도,-10.35,-40.82,10.7,0.0,14.19,-4.73,48.01,0.0,-1.47,51.99,164.14,0.0,0.31,15882.32,0.0,16.77,-90.5,16.77,0.0,-20.3,0.0,1.1316450212938154,3.446879600550531,6.94,0.21558738535428562,0.04092473890706908,23.92,16.34,0
1552,(주)풍경과사람,51.54,53.61,112.32,0.0,195.2,-0.39,19.29,0.0,-0.11,80.71,2.69,0.36,0.28,1762.5,0.0,88.63,-3150.9,23.91,0.0,-12.55,2.4,1.1032160943445766,4.67058819178571,3.39,1.0,0.9777387488891753,15.81,4.51,1
