,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
44,주식회사경기색소,1.6,920722.0,51.31,0.07,-3.17,-11.25,17.48,471.02,0.32,16.83,0.6,0.2,83.17,5.66,1.58,0.6,1.46,207.02,123.0,314.15,29.47,155.53,9.23,0.02,17559359.0,26041356.0,15648670.0,-0.1,10446752.0,12849631.0,-0.11,4.44,1
45,주식회사경안파이프,0.98,297659.0,31.87,5.08,10.86,-14.48,34.33,10.92,0.55,7.9,0.8,0.5,92.1,8.65,7.15,0.91,1.99,65.03,145.44,3229.03,111.83,75.58,16.93,38.47,10499664.0,26644835.0,23547641.0,7.79,9929664.0,14441667.0,3.47,3.97,0
46,주식회사광진엔지니어링,1.02,711727.0,52.77,3.23,3.08,10.46,171.17,41.29,0.31,14.93,0.71,0.24,85.07,6.5,9.26,0.78,1.29,204.11,83.63,1147.78,64.72,192.91,-7.16,6.77,21084965.0,31415020.0,24031846.0,8.73,13735418.0,11487545.0,7.66,4.33,1
47,주식회사글로벌티앤에스,4.04,1102810.0,70.87,-6.81,10.91,-15.33,135.21,242.51,5.14,29.28,33.76,4.5,70.72,8.42,25.47,0.87,1.3,521.21,91.09,315.73,83.83,434.21,-2.94,20.58,8228197.0,9806860.0,8888819.0,5.84,3240798.0,2952109.0,5.41,3.79,1
48,주식회사길조,1.18,297003.0,66.71,7.09,7.44,52.7,163.55,15.09,1.17,12.89,5.31,1.02,87.11,18.55,2.43,0.87,1.52,395.53,117.37,514.39,19.17,285.81,6.26,1.19,7527853.0,9431077.0,7928083.0,-0.25,3400580.0,3991380.0,-0.24,4.06,1
49,주식회사대가종합건설,0.79,456810.0,68.8,-10.36,10.02,30.04,-55.81,14.75,2.6,21.31,11.09,0.91,78.69,6.17,0.61,0.35,1.03,995.49,128.9,180.86,15.28,312.62,16.02,0.2,14403755.0,15850660.0,5853081.0,-26.92,8787446.0,11327416.0,-66.26,5.65,0
50,주식회사대전일보사,0.64,158052.0,48.93,-1.51,-2.23,-1.56,5.86,-5.18,0.46,56.09,5.32,0.37,43.91,6.34,304.69,0.8,1.46,1285.95,82.86,19.77,82.37,796.83,-8.79,3.05,11452437.0,12343021.0,9973909.0,-1.1,6331598.0,5246567.0,-1.27,4.03,0
51,주식회사대흥보빈,1.07,353777.0,65.38,-4.11,-21.14,-0.67,-47.9,-15.87,2.06,25.39,4.32,1.16,74.61,3.47,6.09,0.57,1.86,255.44,36.27,341.74,25.07,265.52,-44.45,0.05,8729577.0,12147022.0,7030446.0,6.68,8472573.0,3072892.0,8.29,4.09,1
52,주식회사동그랑,0.91,424175.0,54.84,0.02,0.39,2.78,10.88,32.93,0.39,12.38,3.16,0.99,87.62,8.18,9.01,2.56,8.12,214.93,113.75,369.31,62.71,116.77,7.61,3.3,10318924.0,15119917.0,38630352.0,-5.54,8363814.0,9513909.0,-1.48,5.55,0
53,주식회사로드인터내셔날,0.22,75149.0,31.7,3.01,4.44,32.29,18.96,49.78,0.89,11.7,2.1,1.16,88.3,13.01,52.69,1.3,3.34,81.73,105.84,2563.35,99.28,97.94,2.55,0.09,6284949.0,13975003.0,17893663.0,-18.82,6087791.0,6443478.0,-6.61,8.51,0
